,title,link,search_name,search_zip
0,Bask in luxury at The Lexington Apartment Homes. The finest in upscale,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-bask-in-luxury-at-the/7844882251.html,agoura hills,91301
1,"Dreams find their home here: Book our sought-after 1 BR, 1 BA now!",https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-dreams-find-their-home/7839104974.html,agoura hills,91301
2,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7844882289.html,agoura hills,91301
3,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7843369268.html,agoura hills,91301
4,Beautiful 1 bed / 1 bath with gorgeous grounds and landscaping,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-bed-bath-with/7843369358.html,agoura hills,91301
5,Serene garden settings with beautiful views! 763 SqFt 1 BR / 1 BA!,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-serene-garden-settings/7843369508.html,agoura hills,91301
6,"Explore, dream, settle. Your new journey starts with this 1 BR.",https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-explore-dream-settle-your/7844882343.html,agoura hills,91301
7,"763 sqft 1 bd, 1 ba ready to lease! Come on over and check us out!",https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-763-sqft-bd-ba-ready-to/7843369548.html,agoura hills,91301
8,Bask in luxury at The Lexington Apartment Homes. The finest in upscale,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-bask-in-luxury-at-the/7842857262.html,agoura hills,91301
9,Beautiful 1 bed / 1 bath with gorgeous grounds and landscaping,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-bed-bath-with/7842857122.html,agoura hills,91301
10,"763 sqft 1 bd, 1 ba ready to lease! Come on over and check us out!",https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-763-sqft-bd-ba-ready-to/7844586336.html,agoura hills,91301
11,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841880155.html,agoura hills,91301
12,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841356523.html,agoura hills,91301
13,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7844586684.html,agoura hills,91301
14,Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841092645.html,agoura hills,91301
15,Beautiful grounds are waiting for you at The Lexington Apartment Homes,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-grounds-are/7841622716.html,agoura hills,91301
16,Dog and Cat-Friendly 763 SqFt 1 Bed / 1 Bath! Pets Welcome Here!,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-dog-and-cat-friendly-763/7844586735.html,agoura hills,91301
17,Lovely community! Simply breath-taking! Come in and see for yourself!,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-lovely-community-simply/7844586793.html,agoura hills,91301
18,Serene garden settings with beautiful views! 763 SqFt 1 BR / 1 BA!,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-serene-garden-settings/7844586837.html,agoura hills,91301
19,Upscale living. Prime location. Visit The Lexington Apartment Homes to,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-upscale-living-prime/7844049115.html,agoura hills,91301
20,Beautiful 1 bed / 1 bath with gorgeous grounds and landscaping,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-bed-bath-with/7842331792.html,agoura hills,91301
