title,price,bedrooms,bathrooms,square_feet,address,latitude,longitude,description,search_name,search_zip,url
Bask in luxury at The Lexington Apartment Homes. The finest in upscale (Agoura Hills),"2,561",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Visit Our Community Today!
30856 Agoura Rd
Agoura Hills, CA 91301
Drop us a text or call at
show contact info
There's nothing like seeing your new home for yourself! Whether you want to view the community in person or prefer to take a tour from the comfort of your home, we have options to suit your needs. We offer virtual video tours of our community and are open for both self-guided and in-person tours. Either way, our team is here to answer any questions you may have!
Bedrooms: 1 |  Bathrooms:  1
Square Footage: 763 sq ft
Rental Pricing: $2561 - $2945/Month
Our Residents Enjoy:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
This Apartment Home Comes With:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
Website:
www.rentalsapts.com?n=lexington&rp=8by90o&t=wb
Online Application:
www.rentalsapts.com?n=lexington&rp=8by90o&t=ap
3D Virtual Tour:
www.rentalsapts.com?n=lexington&rp=8by90o&t=trt
Drop us a text or call at
show contact info
Pet-Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease-Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Call for Directions
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-bask-in-luxury-at-the/7844882251.html
"Dreams find their home here: Book our sought-after 1 BR, 1 BA now! (Agoura Hills)","2,808",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes, located at 30856 Agoura Rd Agoura Hills, CA 91301.
Text or call today!
show contact info
Description
........ There is something for everyone at The Lexington Apartment Homes! Whether you are getting in a workout at the fitness center, enjoying an afternoon at the pools, or reveling in a quiet night in, The Lexington has the features and amenities to make you feel at home. Take full advantage of the spectacular amenities to help keep fit, keep cool, and keep to your schedule with a host of community benefits at your fingertips. Take a tour today or contact our leasing experts to learn more about our Agoura Hills community!
Bedrooms
........... 1
Bathrooms
......... 1
Sq Footage
......... 763 sq ft
Price
........... $2808 - $3742/Month
Lease Term
........ Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Amenity List
......
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
Apartment Home Features
.....
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Our Pet Policy
... We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Leasing Hours
...
Mon - SAT: 9:00 AM - 6:00 PM
Text or call today!
show contact info
Our Location
.....
30856 Agoura Rd
Agoura Hills, CA 91301
Website:
www.apt-rental.com?n=lexington&rp=zb50ct&t=wb
Online Application:
www.apt-rental.com?n=lexington&rp=zb50ct&t=ap
3D Virtual Tour:
www.apt-rental.com?n=lexington&rp=zb50ct&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-dreams-find-their-home/7839104974.html
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),"2,561",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Bedroom:
1 |
Bathroom:
1
Square Footage:
763 sq ft
Monthly Rent:
$2561 - $2945
Text or call for details at
show contact info
Community Description
Everything you need - and want - out of an apartment home!
Residents enjoy full access to incredible amenities at The Lexington Apartment Homes. Soak up some California sunshine poolside, or put in work at the state-of-the-art fitness center. Don't want to leave the house? We've got you covered with programmable AC, USB charging outlets, and a private patio or balcony. The good life is waiting for you at The Lexington Apartment Homes in Agoura Hills!
Community Amenities
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
Apartment Features
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Contact Information
Visit Us:
30856 Agoura Rd
Agoura Hills, CA 91301
Text or call for details at
show contact info
Hours:
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.apt-rental.com?n=lexington&rp=irnyfk&t=wb
Online Application:
www.apt-rental.com?n=lexington&rp=irnyfk&t=ap
3D Virtual Tour:
www.apt-rental.com?n=lexington&rp=irnyfk&t=trt
Additional Details
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease Terms:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7844882289.html
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),"2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Bedroom:
1 |
Bathroom:
1
Square Footage:
763 sq ft
Monthly Rent:
$2814 - $2945
Call or text today!
show contact info
Community Description
The Lexington is your everyday oasis ideally located in the Agoura Hills area. Our 1- & 2-bedroom apartments feature gorgeous spaces designed for high-end style and comfort. Modern finishes are sleek and chic throughout the home, while stainless steel appliances and an in-home washer and dryer effortlessly keep chores under control.
Community Amenities
✓ BBQ Grill
✓ Courtesy Patrol
✓ Covered Parking
✓ Emergency Maintenance
✓ Fitness Center
✓ Jacuzzi
✓ Pool
✓ State-of-the-art fitness center
✓ Basketball and tennis courts
✓ Pet friendly (breed restrictions apply)
✓ Worry-free 24-hour onsite maintenance
Apartment Features
✓ Built-in desk
✓ Built-in linen closet
✓ Ceiling fans in living areas and bedrooms
✓ Mosaic tile kitchen backsplash
✓ Polished quartz countertops
✓ USB charging outlets
✓ Air conditioning with programmable thermostat
✓ In-home washer and dryer
✓ Private balcony or patio
✓ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
✓ Vaulted ceilings in select units
✓ Wood-style plank flooring
Contact Information
Visit Us:
30856 Agoura Rd
Agoura Hills, CA 91301
Call or text today!
show contact info
Hours:
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.lease-apts.com?n=lexington&rp=mk31mc&t=wb
Online Application:
www.lease-apts.com?n=lexington&rp=mk31mc&t=ap
3D Virtual Tour:
www.lease-apts.com?n=lexington&rp=mk31mc&t=trt
Additional Details
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease Terms:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7843369268.html
Beautiful 1 bed / 1 bath with gorgeous grounds and landscaping (Agoura Hills),"2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Bedroom:
1 |
Bathroom:
1
Square Footage:
763 sq ft
Monthly Rent:
$2814 - $2945
Call or text to schedule a viewing:
show contact info
Community Description
The Lexington is your everyday oasis ideally located in the Agoura Hills area. Our 1- & 2-bedroom apartments feature gorgeous spaces designed for high-end style and comfort. Modern finishes are sleek and chic throughout the home, while stainless steel appliances and an in-home washer and dryer effortlessly keep chores under control.
Community Amenities
− BBQ Grill
− Courtesy Patrol
− Covered Parking
− Emergency Maintenance
− Fitness Center
− Jacuzzi
− Pool
− State-of-the-art fitness center
− Basketball and tennis courts
− Pet friendly (breed restrictions apply)
− Worry-free 24-hour onsite maintenance
Apartment Features
− Built-in desk
− Built-in linen closet
− Ceiling fans in living areas and bedrooms
− Mosaic tile kitchen backsplash
− Polished quartz countertops
− USB charging outlets
− Air conditioning with programmable thermostat
− In-home washer and dryer
− Private balcony or patio
− Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
− Vaulted ceilings in select units
− Wood-style plank flooring
Contact Information
Visit Us:
30856 Agoura Rd
Agoura Hills, CA 91301
Call or text to schedule a viewing:
show contact info
Hours:
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.apts-rental.com?n=lexington&rp=ufdbs7&t=wb
Online Application:
www.apts-rental.com?n=lexington&rp=ufdbs7&t=ap
3D Virtual Tour:
www.apts-rental.com?n=lexington&rp=ufdbs7&t=trt
Additional Details
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease Terms:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-bed-bath-with/7843369358.html
Serene garden settings with beautiful views! 763 SqFt 1 BR / 1 BA! (Agoura Hills),"2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Featured Floorplan: 1-bed / 1-bath / 763 sq ft
Monthly Rent: $2814 - $2945
Deposit: Call
Text or call us:j
show contact info
Description: There is something for everyone at The Lexington Apartment Homes! Whether you are getting in a workout at the fitness center, enjoying an afternoon at the pools, or reveling in a quiet night in, The Lexington has the features and amenities to make you feel at home. Take full advantage of the spectacular amenities to help keep fit, keep cool, and keep to your schedule with a host of community benefits at your fingertips. Take a tour today or contact our leasing experts to learn more about our Agoura Hills community!
Lease Terms: Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Pet Policy: We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Apartment Amenities:
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Community Features:
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
Address:
30856 Agoura Rd
Agoura Hills, CA 91301
Text or call us:j
show contact info
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.rentalsapts.com?n=lexington&rp=28b8hk&t=wb
Online Application:
www.rentalsapts.com?n=lexington&rp=28b8hk&t=ap
3D Virtual Tour:
www.rentalsapts.com?n=lexington&rp=28b8hk&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-serene-garden-settings/7843369508.html
"Explore, dream, settle. Your new journey starts with this 1 BR. (Agoura Hills)","2,561",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Call or text for details at
show contact info
Apartment Details:
1-BR 1-BA |
Square Footage:
763 sq ft |
Rental Rates:
$2561 - $2945/Month!
Lease Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Apartment Features:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
About Our Community:
There's nothing like seeing your new home for yourself! Whether you want to view the community in person or prefer to take a tour from the comfort of your home, we have options to suit your needs. We offer virtual video tours of our community and are open for both self-guided and in-person tours. Either way, our team is here to answer any questions you may have!
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Wonderful Amenities:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
Contact Information:
Address:
30856 Agoura Rd
Agoura Hills, CA 91301
Call or text for details at
show contact info
Website:
www.apt-rental.com?n=lexington&rp=904byd&t=wb
Online Application:
www.apt-rental.com?n=lexington&rp=904byd&t=ap
3D Virtual Tour:
www.apt-rental.com?n=lexington&rp=904byd&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-explore-dream-settle-your/7844882343.html
"763 sqft 1 bd, 1 ba ready to lease! Come on over and check us out! (Agoura Hills)","2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Visit Our Community Today!
30856 Agoura Rd
Agoura Hills, CA 91301
Call or text today!
show contact info
Your new home is beautifully equipped and ready for move-in; all that's needed is your unique finishing touches to turn a floor plan into a home you'll love. Wood-style plank flooring, quartz countertops, and oversized closets create an attractive foundation for your personal style. Outside the home, our community offers a resort-style pool, private garages, and a package locker to keep your deliveries safe. You'll love to call us home!
Bedrooms: 1 |  Bathrooms:  1
Square Footage: 763 sq ft
Rental Pricing: $2814 - $2945/Month
Our Residents Enjoy:
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
This Apartment Home Comes With:
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Website:
www.leaseaptsnow.com?n=lexington&rp=qmwh4a&t=wb
Online Application:
www.leaseaptsnow.com?n=lexington&rp=qmwh4a&t=ap
3D Virtual Tour:
www.leaseaptsnow.com?n=lexington&rp=qmwh4a&t=trt
Call or text today!
show contact info
Pet-Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease-Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Call for Directions
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-763-sqft-bd-ba-ready-to/7843369548.html
Bask in luxury at The Lexington Apartment Homes. The finest in upscale (Agoura Hills),"2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
RENT:
$2814 - $2945 / MONTH
SIZE:
763 sq ft
BEDROOMS:
1
BATHROOMS:
1
LEASE TERMS:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Reach out via text or phone:
show contact info
APARTMENT HOME FEATURES:
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
There's nothing like seeing your new home for yourself! Whether you want to view the community in person or prefer to take a tour from the comfort of your home, we have options to suit your needs. We offer virtual video tours of our community and are open for both self-guided and in-person tours. Either way, our team is here to answer any questions you may have!
PROPERTY FEATURES:
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
PET POLICY:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
VISIT US TODAY!
30856 Agoura Rd
Agoura Hills, CA 91301
Reach out via text or phone:
show contact info
Website:
www.lease-apts.com?n=lexington&rp=ycnjd7&t=wb
Online Application:
www.lease-apts.com?n=lexington&rp=ycnjd7&t=ap
3D Virtual Tour:
www.lease-apts.com?n=lexington&rp=ycnjd7&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-bask-in-luxury-at-the/7842857262.html
Beautiful 1 bed / 1 bath with gorgeous grounds and landscaping (Agoura Hills),"2,814",1,1,763,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes - A place to call home!
Bed: 1 / Bath: 1
Sq. Footage: 763 sq ft
Rent: $2814 - $2945/Month
Terms: Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prefer texting? Reach out directly at
show contact info
Everything you need - and want - out of an apartment home!
Residents enjoy full access to incredible amenities at The Lexington Apartment Homes. Soak up some California sunshine poolside, or put in work at the state-of-the-art fitness center. Don't want to leave the house? We've got you covered with programmable AC, USB charging outlets, and a private patio or balcony. The good life is waiting for you at The Lexington Apartment Homes in Agoura Hills!
Our Apartment Homes Feature:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
Our Residents Enjoy:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
Prefer texting? Reach out directly at
show contact info
30856 Agoura Rd
Agoura Hills, CA 91301
Website:
www.rentalsapts.com?n=lexington&rp=88ax9j&t=wb
Online Application:
www.rentalsapts.com?n=lexington&rp=88ax9j&t=ap
3D Virtual Tour:
www.rentalsapts.com?n=lexington&rp=88ax9j&t=trt
Mon - SAT: 9:00 AM - 6:00 PM
Pets:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-bed-bath-with/7842857122.html
