iter	RMSE
0	1132.26485
1	1113.386308
2	1097.259397
3	1087.671141
4	1074.771084
5	1065.911762
6	1056.640225
7	1049.023913
8	1041.741166
9	1036.024499
10	1030.391606
11	1026.201385
12	1020.419522
13	1018.237643
14	1012.514978
15	1009.241442
16	1005.150556
17	1001.36576
18	999.6454512
19	997.5685195
20	994.5486181
21	991.3754815
22	989.4557018
23	988.813161
24	987.8758403
25	985.3894777
26	983.5573856
27	980.8255693
28	980.0217958
29	978.5059244
30	977.2113664
31	975.18844
32	974.2068879
33	971.8690264
34	971.0777818
35	969.1533053
36	967.9311189
37	966.9126649
38	962.858241
39	960.2130843
40	958.6174764
41	957.0442276
42	956.4124166
43	955.7725964
44	949.3920949
45	944.6777531
46	942.744419
47	942.4428894
48	941.0506249
49	940.0293348
50	939.1749893
51	937.9121049
52	936.0037668
53	934.314283
54	933.2821748
55	931.4336818
56	929.3214209
57	929.0028824
58	927.3319261
59	926.9983418
60	926.7472755
61	924.2334505
62	922.134108
63	921.8136077
64	920.7026761
65	920.4769611
66	919.1894242
67	918.9756736
68	918.1445498
69	913.9709247
70	913.1940087
71	913.1844737
72	910.6803722
73	908.6212957
74	908.4048519
75	908.2131517
76	906.6677572
77	904.4979455
78	902.9000564
79	902.2052448
80	898.7781143
81	898.0912061
82	897.9138855
83	897.3256811
84	897.1648794
85	897.1415286
86	896.7765441
87	895.627785
88	894.8866673
89	893.8271813
90	893.1841653
91	893.1497865
92	892.7572454
93	891.1854844
94	890.7843841
95	890.6873138
96	888.2374936
97	887.5029595
98	887.1269314
99	882.2268257
100	881.433863
101	880.6416125
102	880.3160872
103	877.6484031
104	877.0105474
105	874.9325281
106	874.4492774
107	874.4339549
108	874.3819346
109	872.2427849
110	871.8016475
111	868.1624075
112	867.6282823
113	866.9496654
114	865.1273808
115	863.580267
116	860.806643
117	860.3895139
118	859.8992312
119	859.3869041
120	858.4164355
121	858.1743171
122	856.6347733
123	855.1145659
124	854.9395733
125	854.0576699
126	852.4189183
127	850.8879922
128	849.5143425
129	849.0929392
130	848.2482501
131	848.1865427
132	847.6989477
133	846.007645
