title,price,bedrooms,bathrooms,square_feet,address,latitude,longitude,description,search_name,search_zip,url,usage_med_predicted,usage_percap_predicted,income_range,solar_pot
Bask in luxury at The Lexington Apartment Homes. The finest in upscale (Agoura Hills),2561.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Visit Our Community Today!
30856 Agoura Rd
Agoura Hills, CA 91301
Drop us a text or call at
show contact info
There's nothing like seeing your new home for yourself! Whether you want to view the community in person or prefer to take a tour from the comfort of your home, we have options to suit your needs. We offer virtual video tours of our community and are open for both self-guided and in-person tours. Either way, our team is here to answer any questions you may have!
Bedrooms: 1 |  Bathrooms:  1
Square Footage: 763 sq ft
Rental Pricing: $2561 - $2945/Month
Our Residents Enjoy:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
This Apartment Home Comes With:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
Website:
www.rentalsapts.com?n=lexington&rp=8by90o&t=wb
Online Application:
www.rentalsapts.com?n=lexington&rp=8by90o&t=ap
3D Virtual Tour:
www.rentalsapts.com?n=lexington&rp=8by90o&t=trt
Drop us a text or call at
show contact info
Pet-Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease-Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Call for Directions
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-bask-in-luxury-at-the/7844882251.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
"Dreams find their home here: Book our sought-after 1 BR, 1 BA now! (Agoura Hills)",2808.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes, located at 30856 Agoura Rd Agoura Hills, CA 91301.
Text or call today!
show contact info
Description
........ There is something for everyone at The Lexington Apartment Homes! Whether you are getting in a workout at the fitness center, enjoying an afternoon at the pools, or reveling in a quiet night in, The Lexington has the features and amenities to make you feel at home. Take full advantage of the spectacular amenities to help keep fit, keep cool, and keep to your schedule with a host of community benefits at your fingertips. Take a tour today or contact our leasing experts to learn more about our Agoura Hills community!
Bedrooms
........... 1
Bathrooms
......... 1
Sq Footage
......... 763 sq ft
Price
........... $2808 - $3742/Month
Lease Term
........ Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Amenity List
......
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
Apartment Home Features
.....
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Our Pet Policy
... We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Leasing Hours
...
Mon - SAT: 9:00 AM - 6:00 PM
Text or call today!
show contact info
Our Location
.....
30856 Agoura Rd
Agoura Hills, CA 91301
Website:
www.apt-rental.com?n=lexington&rp=zb50ct&t=wb
Online Application:
www.apt-rental.com?n=lexington&rp=zb50ct&t=ap
3D Virtual Tour:
www.apt-rental.com?n=lexington&rp=zb50ct&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-dreams-find-their-home/7839104974.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),2814.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Bedroom:
1 |
Bathroom:
1
Square Footage:
763 sq ft
Monthly Rent:
$2814 - $2945
Call or text today!
show contact info
Community Description
The Lexington is your everyday oasis ideally located in the Agoura Hills area. Our 1- & 2-bedroom apartments feature gorgeous spaces designed for high-end style and comfort. Modern finishes are sleek and chic throughout the home, while stainless steel appliances and an in-home washer and dryer effortlessly keep chores under control.
Community Amenities
✓ BBQ Grill
✓ Courtesy Patrol
✓ Covered Parking
✓ Emergency Maintenance
✓ Fitness Center
✓ Jacuzzi
✓ Pool
✓ State-of-the-art fitness center
✓ Basketball and tennis courts
✓ Pet friendly (breed restrictions apply)
✓ Worry-free 24-hour onsite maintenance
Apartment Features
✓ Built-in desk
✓ Built-in linen closet
✓ Ceiling fans in living areas and bedrooms
✓ Mosaic tile kitchen backsplash
✓ Polished quartz countertops
✓ USB charging outlets
✓ Air conditioning with programmable thermostat
✓ In-home washer and dryer
✓ Private balcony or patio
✓ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
✓ Vaulted ceilings in select units
✓ Wood-style plank flooring
Contact Information
Visit Us:
30856 Agoura Rd
Agoura Hills, CA 91301
Call or text today!
show contact info
Hours:
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.lease-apts.com?n=lexington&rp=mk31mc&t=wb
Online Application:
www.lease-apts.com?n=lexington&rp=mk31mc&t=ap
3D Virtual Tour:
www.lease-apts.com?n=lexington&rp=mk31mc&t=trt
Additional Details
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease Terms:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7843369268.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),2770.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
RENT:
$2770 - $2900 / MONTH
SIZE:
763 sq ft
BEDROOMS:
1
BATHROOMS:
1
LEASE TERMS:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Text or call for details at
show contact info
APARTMENT HOME FEATURES:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
Everything you need - and want - out of an apartment home!
Residents enjoy full access to incredible amenities at The Lexington Apartment Homes. Soak up some California sunshine poolside, or put in work at the state-of-the-art fitness center. Don't want to leave the house? We've got you covered with programmable AC, USB charging outlets, and a private patio or balcony. The good life is waiting for you at The Lexington Apartment Homes in Agoura Hills!
PROPERTY FEATURES:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
PET POLICY:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
VISIT US TODAY!
30856 Agoura Rd
Agoura Hills, CA 91301
Text or call for details at
show contact info
Website:
www.leaseaptsnow.com?n=lexington&rp=zg8tgr&t=wb
Online Application:
www.leaseaptsnow.com?n=lexington&rp=zg8tgr&t=ap
3D Virtual Tour:
www.leaseaptsnow.com?n=lexington&rp=zg8tgr&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841880155.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),2723.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes
Visit Our Community Today!
30856 Agoura Rd
Agoura Hills, CA 91301
We accept call and text messaging:
show contact info
There's nothing like seeing your new home for yourself! Whether you want to view the community in person or prefer to take a tour from the comfort of your home, we have options to suit your needs. We offer virtual video tours of our community and are open for both self-guided and in-person tours. Either way, our team is here to answer any questions you may have!
Bedrooms: 1 |  Bathrooms:  1
Square Footage: 763 sq ft
Rental Pricing: $2723 - $2880/Month
Our Residents Enjoy:
❖ BBQ Grill
❖ Courtesy Patrol
❖ Covered Parking
❖ Emergency Maintenance
❖ Fitness Center
❖ Jacuzzi
❖ Pool
❖ State-of-the-art fitness center
❖ Basketball and tennis courts
❖ Pet friendly (breed restrictions apply)
❖ Worry-free 24-hour onsite maintenance
This Apartment Home Comes With:
❖ Built-in desk
❖ Built-in linen closet
❖ Ceiling fans in living areas and bedrooms
❖ Mosaic tile kitchen backsplash
❖ Polished quartz countertops
❖ USB charging outlets
❖ Air conditioning with programmable thermostat
❖ In-home washer and dryer
❖ Private balcony or patio
❖ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
❖ Vaulted ceilings in select units
❖ Wood-style plank flooring
Website:
www.lease-apts.com?n=lexington&rp=zz0ssm&t=wb
Online Application:
www.lease-apts.com?n=lexington&rp=zz0ssm&t=ap
3D Virtual Tour:
www.lease-apts.com?n=lexington&rp=zz0ssm&t=trt
We accept call and text messaging:
show contact info
Pet-Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Lease-Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Call for Directions
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841356523.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
Your haven from a busy lifestyle! Calm and quiet 1 bed / 1 bath (Agoura Hills),2778.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes - A place to call home!
Bed: 1 / Bath: 1
Sq. Footage: 763 sq ft
Rent: $2778 - $2937/Month
Terms: Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Text or call today!
show contact info
The Lexington is your everyday oasis ideally located in the Agoura Hills area. Our 1- & 2-bedroom apartments feature gorgeous spaces designed for high-end style and comfort. Modern finishes are sleek and chic throughout the home, while stainless steel appliances and an in-home washer and dryer effortlessly keep chores under control.
Our Apartment Homes Feature:
● Built-in desk
● Built-in linen closet
● Ceiling fans in living areas and bedrooms
● Mosaic tile kitchen backsplash
● Polished quartz countertops
● USB charging outlets
● Air conditioning with programmable thermostat
● In-home washer and dryer
● Private balcony or patio
● Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
● Vaulted ceilings in select units
● Wood-style plank flooring
Our Residents Enjoy:
● BBQ Grill
● Courtesy Patrol
● Covered Parking
● Emergency Maintenance
● Fitness Center
● Jacuzzi
● Pool
● State-of-the-art fitness center
● Basketball and tennis courts
● Pet friendly (breed restrictions apply)
● Worry-free 24-hour onsite maintenance
Text or call today!
show contact info
30856 Agoura Rd
Agoura Hills, CA 91301
Website:
www.lease-apts.com?n=lexington&rp=h5mle4&t=wb
Online Application:
www.lease-apts.com?n=lexington&rp=h5mle4&t=ap
3D Virtual Tour:
www.lease-apts.com?n=lexington&rp=h5mle4&t=trt
Mon - SAT: 9:00 AM - 6:00 PM
Pets:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-your-haven-from-busy/7841092645.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
Beautiful grounds are waiting for you at The Lexington Apartment Homes (Agoura Hills),2733.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
-- The Lexington Apartment Homes --
Call or text today!
show contact info
Monthly Rent:
$2733 - $2844
Apartment:
1 Bedroom | 1 Bathroom
Square Footage:
763 sq ft
There is something for everyone at The Lexington Apartment Homes! Whether you are getting in a workout at the fitness center, enjoying an afternoon at the pools, or reveling in a quiet night in, The Lexington has the features and amenities to make you feel at home. Take full advantage of the spectacular amenities to help keep fit, keep cool, and keep to your schedule with a host of community benefits at your fingertips. Take a tour today or contact our leasing experts to learn more about our Agoura Hills community!
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Check out our beautiful community featuring:
✓ BBQ Grill
✓ Courtesy Patrol
✓ Covered Parking
✓ Emergency Maintenance
✓ Fitness Center
✓ Jacuzzi
✓ Pool
✓ State-of-the-art fitness center
✓ Basketball and tennis courts
✓ Pet friendly (breed restrictions apply)
✓ Worry-free 24-hour onsite maintenance
Apartment features include:
✓ Built-in desk
✓ Built-in linen closet
✓ Ceiling fans in living areas and bedrooms
✓ Mosaic tile kitchen backsplash
✓ Polished quartz countertops
✓ USB charging outlets
✓ Air conditioning with programmable thermostat
✓ In-home washer and dryer
✓ Private balcony or patio
✓ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
✓ Vaulted ceilings in select units
✓ Wood-style plank flooring
Call or text today!
show contact info
Mon - SAT: 9:00 AM - 6:00 PM
Website:
www.apts-rental.com?n=lexington&rp=ep52ul&t=wb
Online Application:
www.apts-rental.com?n=lexington&rp=ep52ul&t=ap
3D Virtual Tour:
www.apts-rental.com?n=lexington&rp=ep52ul&t=trt
30856 Agoura Rd
Agoura Hills, CA 91301
Lease Terms:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-beautiful-grounds-are/7841622716.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
A home to adore. Our 1 BR is a must-see. (Agoura Hills),2815.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
RENTAL INFO
Rental Rates:
$2815 - $2975/month
The Lexington Apartment Homes:
30856 Agoura Rd Agoura Hills, CA 91301
Apartment for Rent:
1-BR 1-BA |
Square Feet:
763 sq ft |
Lease Length:
Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Get quick replies! Call or text:
show contact info
PROPERTY AMENITIES
✓ BBQ Grill
✓ Courtesy Patrol
✓ Covered Parking
✓ Emergency Maintenance
✓ Fitness Center
✓ Jacuzzi
✓ Pool
✓ State-of-the-art fitness center
✓ Basketball and tennis courts
✓ Pet friendly (breed restrictions apply)
✓ Worry-free 24-hour onsite maintenance
APARTMENT AMENITIES
✓ Built-in desk
✓ Built-in linen closet
✓ Ceiling fans in living areas and bedrooms
✓ Mosaic tile kitchen backsplash
✓ Polished quartz countertops
✓ USB charging outlets
✓ Air conditioning with programmable thermostat
✓ In-home washer and dryer
✓ Private balcony or patio
✓ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
✓ Vaulted ceilings in select units
✓ Wood-style plank flooring
ADDITIONAL INFO
Description:
Your new home is beautifully equipped and ready for move-in; all that's needed is your unique finishing touches to turn a floor plan into a home you'll love. Wood-style plank flooring, quartz countertops, and oversized closets create an attractive foundation for your personal style. Outside the home, our community offers a resort-style pool, private garages, and a package locker to keep your deliveries safe. You'll love to call us home!
Pet Policy:
We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Website:
www.apt-rental.com?n=lexington&rp=ny2j3e&t=wb
Online Application:
www.apt-rental.com?n=lexington&rp=ny2j3e&t=ap
3D Virtual Tour:
www.apt-rental.com?n=lexington&rp=ny2j3e&t=trt
Get quick replies! Call or text:
show contact info
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-home-to-adore-our-br-is/7840836392.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
🏡 Upgraded 3-Bed End-Unit Townhome in Agoura Hills – Move-In Ready! (Agoura Hills),665000.0,3.0,2.0,1149.0,"28512 Conejo View Drive, Agoura Hills, CA 91301",34.149175,-118.748131,"QR Code Link to This Post
🏡 Stylish 3-Bedroom End-Unit Townhome in Agoura Hills – Move-In Ready!
📍 28512 Conejo View Drive, Agoura Hills, CA
💰 Asking Price: $665,000
Welcome to this beautifully upgraded
3-bedroom, 2-bathroom end-unit townhome
in the desirable Annandale community of Agoura Hills! This single-story gem offers contemporary finishes, privacy, and a serene setting just minutes from shopping, dining, and top-rated Las Virgenes schools.
✨ Home Highlights:
🏡 Single-story end-unit for maximum privacy
🌿 Large private patio with vinyl fencing and collapsible panels for greenbelt views
🔥 Cozy stacked stone fireplace in the open living/dining area
🍽️ Upgraded kitchen with quartz countertops, stainless steel appliances & breakfast bar
💡 Recessed lighting & ceiling fans in all bedrooms
🛁 Renovated bathrooms with custom tilework
🧺 In-unit washer & dryer
🚗 Assigned carport space directly next to the unit
🌟 Community Features:
🏊‍♂️ Pool, spa, and clubhouse
🚸 Located in the award-winning Las Virgenes School District
🚶‍♂️ Close to parks, trails, and the 101 freeway
This is the last available 3-bedroom unit in the community — don’t miss your chance!

📸 View Full Listing & Photos
📞 Schedule a Private Showing Today:
Chrystal & David Schoenbrun
Pacific Home Group – Powered by Y Realty
DRE# 01761327 & 01409474",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/reb/d/agoura-hills-upgraded-bed-end-unit/7839144562.html,9255.300093282034,2177.047126795243,"> $99,028",
"Explore, dream, settle. Your new journey starts with this 1 BR. (Agoura Hills)",2805.0,1.0,1.0,763.0,"30856 Agoura Rd, Agoura Hills, CA 91301",34.143276,-118.794957,"QR Code Link to This Post
The Lexington Apartment Homes, located at 30856 Agoura Rd Agoura Hills, CA 91301.
Drop us a text or call at
show contact info
Description
........ There is something for everyone at The Lexington Apartment Homes! Whether you are getting in a workout at the fitness center, enjoying an afternoon at the pools, or reveling in a quiet night in, The Lexington has the features and amenities to make you feel at home. Take full advantage of the spectacular amenities to help keep fit, keep cool, and keep to your schedule with a host of community benefits at your fingertips. Take a tour today or contact our leasing experts to learn more about our Agoura Hills community!
Bedrooms
........... 1
Bathrooms
......... 1
Sq Footage
......... 763 sq ft
Price
........... $2805 - $2936/Month
Lease Term
........ Variable, 3-Month, 4-Month, 5-Month, 6-Month, 7-Month, 8-Month, 9-Month, 10-Month, 11-Month, 12-Month, 13-Month
Amenity List
......
➢ BBQ Grill
➢ Courtesy Patrol
➢ Covered Parking
➢ Emergency Maintenance
➢ Fitness Center
➢ Jacuzzi
➢ Pool
➢ State-of-the-art fitness center
➢ Basketball and tennis courts
➢ Pet friendly (breed restrictions apply)
➢ Worry-free 24-hour onsite maintenance
Apartment Home Features
.....
➢ Built-in desk
➢ Built-in linen closet
➢ Ceiling fans in living areas and bedrooms
➢ Mosaic tile kitchen backsplash
➢ Polished quartz countertops
➢ USB charging outlets
➢ Air conditioning with programmable thermostat
➢ In-home washer and dryer
➢ Private balcony or patio
➢ Stainless steel appliances including built-in microwave, gas range, refrigerator, and dishwasher
➢ Vaulted ceilings in select units
➢ Wood-style plank flooring
Our Pet Policy
... We welcome you and your pet home to The Lexington Apartment Homes. Before you move in, we ask that you review our pet policy.
Leasing Hours
...
Mon - SAT: 9:00 AM - 6:00 PM
Drop us a text or call at
show contact info
Our Location
.....
30856 Agoura Rd
Agoura Hills, CA 91301
Website:
www.apts-rental.com?n=lexington&rp=vy40h7&t=wb
Online Application:
www.apts-rental.com?n=lexington&rp=vy40h7&t=ap
3D Virtual Tour:
www.apts-rental.com?n=lexington&rp=vy40h7&t=trt
Prices and availability subject to change
EQUAL HOUSING OPPORTUNITY
E0305E2110F147E",agoura hills,91301.0,https://losangeles.craigslist.org/sfv/apa/d/agoura-hills-explore-dream-settle-your/7842599013.html,4931.678254743155,518.0082149709438,"$74,167-$99,028",
