geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap,source,vintage_id,income_quintile,income_range,sqft_id,pop_sqmi,med_income,pct_own,pct_rent,enviroscreen_tracts,sqmi,solar_pot,net_solar_pot,count,query,postal_code,city,county,neighborhood,lat,lng
cities_1,1253.0,masked,masked,masked,agriculture,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,4802115.0,65825608.0000,121901,9.7676,commercial,2016,agoura hills,,,,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,8906397.0,43707916.6000,9136,3.9839,condo,2016,agoura hills,,,,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,734698.0,masked,masked,masked,industrial,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,100192.0,masked,masked,masked,institutional,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,742420.0,2010646.5000,70823,3.2102,multi_family,2016,agoura hills,,,,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,4199.0,masked,masked,masked,other,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,46700.0,masked,masked,masked,residential_other,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,0.0,masked,masked,masked,residential_uncat,2016,agoura hills,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,14557697.0,70081933.1000,9369,4.0788,res_total,2016,agoura hills,,20236.0,3463.2305,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,4862180.0,22023992.5000,9761.5,4.2576,single_family,2016,agoura hills,,,,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_1,0.0,521491.0000,,,uncat,2016,agoura hills,,,,usage_bld_kwh,,,,,,,,,,,,,,"agoura hills, CA",91301,Agoura Hills,Los Angeles County,,34.1533395,-118.7616764
cities_10,90.0,masked,masked,masked,agriculture,2016,carson,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,10104483.0,125222787.0000,92528,11.2118,commercial,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,1321314.0,17307344.0000,6596,3.2035,condo,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,45483634.0,729301093.8000,101301,3.7578,industrial,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,528471.0,masked,masked,masked,institutional,2016,carson,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,2601870.0,10681457.0000,8763.5,4.0139,multi_family,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,250146.0,masked,masked,masked,other,2016,carson,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,479648.0,8598051.0000,45244,12.4779,residential_other,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,0.0,3281712.0000,,,residential_uncat,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,30551091.0,142818189.6000,5644,3.7428,res_total,2016,carson,,91578.0,1559.5251,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,26148259.0,102949625.6000,5542.5,3.7462,single_family,2016,carson,,,,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_10,0.0,masked,masked,masked,uncat,2016,carson,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"carson, CA",,Carson,Los Angeles County,,33.8316745,-118.281693
cities_100,12790.0,masked,masked,masked,agriculture,2016,camarillo,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,3607005.0,101109206.0000,92712,15.5566,commercial,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,7041285.0,31072697.0000,5449.5,4.0624,condo,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,9015456.0,121027924.0000,52237,4.9007,industrial,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,198264.0,27756200.0000,54147,32.2843,institutional,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,2697315.0,10424378.0000,8848.5,4.0647,multi_family,2016,camarillo,,,,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
cities_100,357554.0,masked,masked,masked,other,2016,camarillo,,,masked,usage_bld_kwh,,,,,,,,,,,,,,"camarillo, CA",,Camarillo,Ventura County,,34.2163937,-119.0376023
