geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap
cities_1,1253,masked,masked,masked,agriculture,2016,agoura hills,NA,NA,masked
cities_1,4802115,65825608.0000,121901,9.7676,commercial,2016,agoura hills,NA,NA,NA
cities_1,8906397,43707916.6000,9136,3.9839,condo,2016,agoura hills,NA,NA,NA
cities_1,734698,masked,masked,masked,industrial,2016,agoura hills,NA,NA,masked
cities_1,100192,masked,masked,masked,institutional,2016,agoura hills,NA,NA,masked
cities_1,742420,2010646.5000,70823,3.2102,multi_family,2016,agoura hills,NA,NA,NA
cities_1,4199,masked,masked,masked,other,2016,agoura hills,NA,NA,masked
cities_1,46700,masked,masked,masked,residential_other,2016,agoura hills,NA,NA,masked
cities_1,0,masked,masked,masked,residential_uncat,2016,agoura hills,NA,NA,masked
cities_1,14557697,70081933.1000,9369,4.0788,res_total,2016,agoura hills,NA,20236,3463.2305
cities_1,4862180,22023992.5000,9761.5,4.2576,single_family,2016,agoura hills,NA,NA,NA
cities_1,0,521491.0000,NA,NA,uncat,2016,agoura hills,NA,NA,NA
cities_10,90,masked,masked,masked,agriculture,2016,carson,NA,NA,masked
cities_10,10104483,125222787.0000,92528,11.2118,commercial,2016,carson,NA,NA,NA
cities_10,1321314,17307344.0000,6596,3.2035,condo,2016,carson,NA,NA,NA
cities_10,45483634,729301093.8000,101301,3.7578,industrial,2016,carson,NA,NA,NA
cities_10,528471,masked,masked,masked,institutional,2016,carson,NA,NA,masked
cities_10,2601870,10681457.0000,8763.5,4.0139,multi_family,2016,carson,NA,NA,NA
cities_10,250146,masked,masked,masked,other,2016,carson,NA,NA,masked
cities_10,479648,8598051.0000,45244,12.4779,residential_other,2016,carson,NA,NA,NA
cities_10,0,3281712.0000,NA,NA,residential_uncat,2016,carson,NA,NA,NA
cities_10,30551091,142818189.6000,5644,3.7428,res_total,2016,carson,NA,91578,1559.5251
cities_10,26148259,102949625.6000,5542.5,3.7462,single_family,2016,carson,NA,NA,NA
cities_10,0,masked,masked,masked,uncat,2016,carson,NA,NA,masked
cities_100,12790,masked,masked,masked,agriculture,2016,camarillo,NA,NA,masked
cities_100,3607005,101109206.0000,92712,15.5566,commercial,2016,camarillo,NA,NA,NA
cities_100,7041285,31072697.0000,5449.5,4.0624,condo,2016,camarillo,NA,NA,NA
cities_100,9015456,121027924.0000,52237,4.9007,industrial,2016,camarillo,NA,NA,NA
cities_100,198264,27756200.0000,54147,32.2843,institutional,2016,camarillo,NA,NA,NA
cities_100,2697315,10424378.0000,8848.5,4.0647,multi_family,2016,camarillo,NA,NA,NA
cities_100,357554,masked,masked,masked,other,2016,camarillo,NA,NA,masked
cities_100,154979,4885336.0000,4555,2.7205,residential_other,2016,camarillo,NA,NA,NA
cities_100,0,4932137.3333,NA,NA,residential_uncat,2016,camarillo,NA,NA,NA
cities_100,39994451,152487457.5833,5985,3.3739,res_total,2016,camarillo,NA,65985,2310.9412
cities_100,30100872,101172909.2500,6150,3.2041,single_family,2016,camarillo,NA,NA,NA
cities_100,0,2281847.0000,NA,NA,uncat,2016,camarillo,NA,NA,NA
cities_101,3541,masked,masked,masked,agriculture,2016,fillmore,NA,NA,masked
cities_101,482740,masked,masked,masked,commercial,2016,fillmore,NA,NA,masked
cities_101,233159,1111459.0000,5324,4.2741,condo,2016,fillmore,NA,NA,NA
cities_101,235373,masked,masked,masked,industrial,2016,fillmore,NA,NA,masked
cities_101,16024,masked,masked,masked,institutional,2016,fillmore,NA,NA,masked
cities_101,694644,2834267.0000,8111,4.1491,multi_family,2016,fillmore,NA,NA,NA
cities_101,47370,masked,masked,masked,other,2016,fillmore,NA,NA,masked
cities_101,46235,2683067.0000,7223.5,4.1899,residential_other,2016,fillmore,NA,NA,NA
cities_101,0,815363.0000,NA,NA,residential_uncat,2016,fillmore,NA,NA,NA
cities_101,5441259,26281606.0000,6218,4.1241,res_total,2016,fillmore,NA,15203,1728.7118
cities_101,4467221,18837450.0000,6170,4.0982,single_family,2016,fillmore,NA,NA,NA
cities_101,0,masked,masked,masked,uncat,2016,fillmore,NA,NA,masked
cities_102,0,masked,masked,masked,agriculture,2016,moorpark,NA,NA,masked
cities_102,1422838,33270932.0000,92260,11.1069,commercial,2016,moorpark,NA,NA,NA
cities_102,1702345,7755670.5000,5209.5,3.8314,condo,2016,moorpark,NA,NA,NA
cities_102,2967672,masked,masked,masked,industrial,2016,moorpark,NA,NA,masked
cities_102,135327,masked,masked,masked,institutional,2016,moorpark,NA,NA,masked
cities_102,469043,2736859.0000,5460,2.9417,multi_family,2016,moorpark,NA,NA,NA
cities_102,41651,masked,masked,masked,other,2016,moorpark,NA,NA,masked
cities_102,200272,1196353.0000,5348,4.3777,residential_other,2016,moorpark,NA,NA,NA
cities_102,0,3795361.0000,NA,NA,residential_uncat,2016,moorpark,NA,NA,NA
cities_102,20760410,79101065.5000,6816,3.4795,res_total,2016,moorpark,NA,35033,2257.9016
cities_102,18388750,63616822.0000,7123,3.4176,single_family,2016,moorpark,NA,NA,NA
cities_102,0,masked,masked,masked,uncat,2016,moorpark,NA,NA,masked
cities_103,5215,masked,masked,masked,agriculture,2016,ojai,NA,NA,masked
cities_103,645637,16020323.0000,22717,7.9742,commercial,2016,ojai,NA,NA,NA
cities_103,208769,816347.5000,4726,3.1562,condo,2016,ojai,NA,NA,NA
cities_103,228418,masked,masked,masked,industrial,2016,ojai,NA,NA,masked
cities_103,59519,2422109.0000,27567.5,35.4625,institutional,2016,ojai,NA,NA,NA
cities_103,450580,1888664.0000,8638,3.7559,multi_family,2016,ojai,NA,NA,NA
cities_103,17254,253439.0000,7215,NA,other,2016,ojai,NA,NA,NA
cities_103,51173,masked,masked,masked,residential_other,2016,ojai,NA,NA,masked
cities_103,0,masked,masked,masked,residential_uncat,2016,ojai,NA,NA,masked
cities_103,4291261,19522502.0000,6061,3.7774,res_total,2016,ojai,NA,7558,2583.0249
cities_103,3580739,14852930.5000,6019,3.8360,single_family,2016,ojai,NA,NA,NA
cities_103,0,masked,masked,masked,uncat,2016,ojai,NA,NA,masked
cities_104,32674,masked,masked,masked,agriculture,2016,santa paula,NA,NA,masked
cities_104,928783,21920705.0000,15272.5,6.0034,commercial,2016,santa paula,NA,NA,NA
cities_104,564167,2778479.0000,4698,4.4466,condo,2016,santa paula,NA,NA,NA
cities_104,1209892,24007666.0000,13174,2.8500,industrial,2016,santa paula,NA,NA,NA
cities_104,104233,3853824.0000,8852.5,6.5238,institutional,2016,santa paula,NA,NA,NA
cities_104,2108768,7332401.0000,6312,3.1836,multi_family,2016,santa paula,NA,NA,NA
cities_104,103831,381407.0000,3151,3.1022,other,2016,santa paula,NA,NA,NA
cities_104,212201,2760586.0000,3980,2.8274,residential_other,2016,santa paula,NA,NA,NA
cities_104,0,3856801.5000,NA,NA,residential_uncat,2016,santa paula,NA,NA,NA
cities_104,9079223,39883083.5000,5027,3.5698,res_total,2016,santa paula,NA,29990,1329.8794
cities_104,6194087,23154816.0000,4983.5,3.5695,single_family,2016,santa paula,NA,NA,NA
cities_104,0,masked,masked,masked,uncat,2016,santa paula,NA,NA,masked
cities_105,12574,masked,masked,masked,agriculture,2016,simi valley,NA,NA,masked
cities_105,4549728,158779099.0000,101659,15.5227,commercial,2016,simi valley,NA,NA,NA
cities_105,5352497,27666305.0000,5936.5,4.4933,condo,2016,simi valley,NA,NA,NA
cities_105,7021007,85146421.0000,91631,4.8920,industrial,2016,simi valley,NA,NA,NA
cities_105,422614,22956564.0000,74142.5,38.1907,institutional,2016,simi valley,NA,NA,NA
cities_105,3994174,22978930.5000,19557,5.0547,multi_family,2016,simi valley,NA,NA,NA
cities_105,95488,masked,masked,masked,other,2016,simi valley,NA,NA,masked
cities_105,176580,masked,masked,masked,residential_other,2016,simi valley,NA,NA,masked
cities_105,0,masked,masked,masked,residential_uncat,2016,simi valley,NA,NA,masked
cities_105,68974626,324787061.1667,7672,4.2754,res_total,2016,simi valley,NA,115258,2817.9134
cities_105,59451375,258580203.6667,7898,4.2436,single_family,2016,simi valley,NA,NA,NA
cities_105,0,5270116.0000,NA,NA,uncat,2016,simi valley,NA,NA,NA
cities_106,NA,NA,NA,NA,agriculture,2016,thousand oaks,NA,NA,NA
cities_106,8115057,253726147.5000,95552,15.7598,commercial,2016,thousand oaks,NA,NA,NA
cities_106,12064505,50503632.5000,5528,3.7518,condo,2016,thousand oaks,NA,NA,NA
cities_106,5949073,masked,masked,masked,industrial,2016,thousand oaks,NA,NA,masked
cities_106,490657,masked,masked,masked,institutional,2016,thousand oaks,NA,NA,masked
cities_106,5368343,32704285.8333,16860,4.9421,multi_family,2016,thousand oaks,NA,NA,NA
cities_106,82552,20260035.0000,7773.5,NA,other,2016,thousand oaks,NA,NA,NA
cities_106,154290,13400649.0000,9734,5.8835,residential_other,2016,thousand oaks,NA,NA,NA
cities_106,0,4564714.3333,NA,NA,residential_uncat,2016,thousand oaks,NA,NA,NA
cities_106,86373906,368184276.6667,7226,3.6798,res_total,2016,thousand oaks,NA,129588,2841.1911
cities_106,68786768,267010995.0000,7730,3.6571,single_family,2016,thousand oaks,NA,NA,NA
cities_106,0,masked,masked,masked,uncat,2016,thousand oaks,NA,NA,masked
cities_107,NA,NA,NA,NA,agriculture,2016,port hueneme,NA,NA,NA
cities_107,575432,15695724.0000,47035,4.9415,commercial,2016,port hueneme,NA,NA,NA
cities_107,3564742,16394634.5000,4550,3.8587,condo,2016,port hueneme,NA,NA,NA
cities_107,163847,masked,masked,masked,industrial,2016,port hueneme,NA,NA,masked
cities_107,61299,masked,masked,masked,institutional,2016,port hueneme,NA,NA,masked
cities_107,832030,2483542.5000,5456,2.5836,multi_family,2016,port hueneme,NA,NA,NA
cities_107,39035,masked,masked,masked,other,2016,port hueneme,NA,NA,masked
cities_107,8616,masked,masked,masked,residential_other,2016,port hueneme,NA,NA,masked
cities_107,0,masked,masked,masked,residential_uncat,2016,port hueneme,NA,NA,masked
cities_107,7722026,32210511.5000,4589,3.5227,res_total,2016,port hueneme,NA,21684,1485.4506
cities_107,3316638,11402336.5000,4596,3.3009,single_family,2016,port hueneme,NA,NA,NA
cities_107,0,masked,masked,masked,uncat,2016,port hueneme,NA,NA,masked
cities_108,4501,masked,masked,masked,agriculture,2016,oxnard,NA,NA,masked
cities_108,6642182,192869078.5000,48003.5,13.2935,commercial,2016,oxnard,NA,NA,NA
cities_108,9791824,33894386.5000,4332,2.9333,condo,2016,oxnard,NA,NA,NA
cities_108,13553038,296935752.0000,42188,3.6997,industrial,2016,oxnard,NA,NA,NA
cities_108,828717,masked,masked,masked,institutional,2016,oxnard,NA,NA,masked
cities_108,10764456,47160530.5000,10216.5,3.6394,multi_family,2016,oxnard,NA,NA,NA
cities_108,339905,33378499.0000,5667,NA,other,2016,oxnard,NA,NA,NA
cities_108,403195,7759950.0000,3823,2.2684,residential_other,2016,oxnard,NA,NA,NA
cities_108,0,7112882.0000,NA,NA,residential_uncat,2016,oxnard,NA,NA,NA
cities_108,68406061,242540119.0000,5006,3.0351,res_total,2016,oxnard,NA,186913,1297.6097
cities_108,47446586,146612370.0000,5038,3.0228,single_family,2016,oxnard,NA,NA,NA
