geo_id,year,income_quintile,income_range,usage,pop,usetype,usage_percap,name
cities_1,2016,1,"< $41,685",NA,NA,res,NA,agoura hills
cities_1,2016,2,"$41,685-$56,290",NA,NA,res,NA,agoura hills
cities_1,2016,3,"$56,290-$74,167",6173795.0000,3224,res,1914.9488,agoura hills
cities_1,2016,4,"$74,167-$99,028",17494261.0000,6323,res,2766.7659,agoura hills
cities_1,2016,5,"> $99,028",46413877.1000,14504,res,3200.0743,agoura hills
cities_10,2016,1,"< $41,685",2302051.5000,1314,res,1751.9418,carson
cities_10,2016,2,"$41,685-$56,290",24641097.5000,15840,res,1555.6248,carson
cities_10,2016,3,"$56,290-$74,167",28656552.5000,22669,res,1264.1295,carson
cities_10,2016,4,"$74,167-$99,028",65325171.1000,41630,res,1569.1850,carson
cities_10,2016,5,"> $99,028",19333884.0000,12001,res,1611.0227,carson
cities_100,2016,1,"< $41,685",NA,NA,res,NA,camarillo
cities_100,2016,2,"$41,685-$56,290",20875429.0000,7396,res,2822.5296,camarillo
cities_100,2016,3,"$56,290-$74,167",13374892.0000,7527,res,1776.9220,camarillo
cities_100,2016,4,"$74,167-$99,028",29619153.5833,16453,res,1800.2281,camarillo
cities_100,2016,5,"> $99,028",88617983.0000,42304,res,2094.7897,camarillo
cities_101,2016,1,"< $41,685",3878026.0000,2786,res,1391.9691,fillmore
cities_101,2016,2,"$41,685-$56,290",9106014.0000,5335,res,1706.8442,fillmore
cities_101,2016,3,"$56,290-$74,167",2999910.0000,1865,res,1608.5308,fillmore
cities_101,2016,4,"$74,167-$99,028",7484356.0000,5020,res,1490.9076,fillmore
cities_101,2016,5,"> $99,028",2813300.0000,1548,res,1817.3773,fillmore
cities_102,2016,1,"< $41,685",NA,NA,res,NA,moorpark
cities_102,2016,2,"$41,685-$56,290",4281249.0000,3442,res,1243.8260,moorpark
cities_102,2016,3,"$56,290-$74,167",7149979.0000,6243,res,1145.2794,moorpark
cities_102,2016,4,"$74,167-$99,028",1440453.0000,869,res,1657.5984,moorpark
cities_102,2016,5,"> $99,028",66229384.5000,27079,res,2445.7840,moorpark
cities_103,2016,1,"< $41,685",NA,NA,res,NA,ojai
cities_103,2016,2,"$41,685-$56,290",NA,NA,res,NA,ojai
cities_103,2016,3,"$56,290-$74,167",15703046.5000,7265,res,2161.4655,ojai
cities_103,2016,4,"$74,167-$99,028",2946288.0000,1707,res,1726.0035,ojai
cities_103,2016,5,"> $99,028",873167.5000,1635,res,534.0474,ojai
cities_104,2016,1,"< $41,685",11334477.5000,9201,res,1231.8745,santa paula
cities_104,2016,2,"$41,685-$56,290",2984958.0000,3307,res,902.6181,santa paula
cities_104,2016,3,"$56,290-$74,167",17735093.0000,17000,res,1043.2408,santa paula
cities_104,2016,4,"$74,167-$99,028",6119841.0000,3200,res,1912.4503,santa paula
cities_104,2016,5,"> $99,028",1708714.0000,918,res,1861.3442,santa paula
cities_105,2016,1,"< $41,685",4879818.0000,2923,res,1669.4554,simi valley
cities_105,2016,2,"$41,685-$56,290",19763656.1667,8366,res,2362.3782,simi valley
cities_105,2016,3,"$56,290-$74,167",37170885.5000,16217,res,2292.0938,simi valley
cities_105,2016,4,"$74,167-$99,028",129762966.0000,54240,res,2392.3851,simi valley
cities_105,2016,5,"> $99,028",133209735.5000,47341,res,2813.8344,simi valley
cities_106,2016,1,"< $41,685",5042211.0000,2081,res,2422.9750,thousand oaks
cities_106,2016,2,"$41,685-$56,290",17310463.3333,7436,res,2327.9268,thousand oaks
cities_106,2016,3,"$56,290-$74,167",38812019.5000,16759,res,2315.8911,thousand oaks
cities_106,2016,4,"$74,167-$99,028",57664232.0000,25463,res,2264.6284,thousand oaks
cities_106,2016,5,"> $99,028",249355350.8333,88033,res,2832.5213,thousand oaks
cities_107,2016,1,"< $41,685",NA,NA,res,NA,port hueneme
cities_107,2016,2,"$41,685-$56,290",7018830.0000,5241,res,1339.2158,port hueneme
cities_107,2016,3,"$56,290-$74,167",15038870.0000,12261,res,1226.5615,port hueneme
cities_107,2016,4,"$74,167-$99,028",10152811.5000,6769,res,1499.8983,port hueneme
cities_107,2016,5,"> $99,028",NA,NA,res,NA,port hueneme
cities_108,2016,1,"< $41,685",15193632.0000,18719,res,811.6690,oxnard
cities_108,2016,2,"$41,685-$56,290",48907399.5000,58803,res,831.7161,oxnard
cities_108,2016,3,"$56,290-$74,167",64397029.0000,60212,res,1069.5049,oxnard
cities_108,2016,4,"$74,167-$99,028",80211137.5000,62920,res,1274.8115,oxnard
cities_108,2016,5,"> $99,028",33830921.0000,22137,res,1528.2523,oxnard
cities_109,2016,1,"< $41,685",17312417.5000,11286,res,1533.9728,san buenaventura
cities_109,2016,2,"$41,685-$56,290",28580942.0000,19798,res,1443.6277,san buenaventura
cities_109,2016,3,"$56,290-$74,167",39159661.0000,26368,res,1485.1206,san buenaventura
cities_109,2016,4,"$74,167-$99,028",62957440.0000,35360,res,1780.4706,san buenaventura
cities_109,2016,5,"> $99,028",39727740.0000,18594,res,2136.5892,san buenaventura
cities_11,2016,1,"< $41,685",NA,NA,res,NA,cerritos
