geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,vintage_id,year,name
cities_1,NA,NA,NA,NA,agriculture,1,2016,agoura hills
cities_1,NA,NA,NA,NA,agriculture,2,2016,agoura hills
cities_1,NA,NA,NA,NA,agriculture,3,2016,agoura hills
cities_1,NA,NA,NA,NA,agriculture,4,2016,agoura hills
cities_1,45351,masked,masked,masked,commercial,1,2016,agoura hills
cities_1,120739,masked,masked,masked,commercial,2,2016,agoura hills
cities_1,3167956,32751487.0000,139892.0000,9.7676,commercial,3,2016,agoura hills
cities_1,1230324,masked,masked,masked,commercial,4,2016,agoura hills
cities_1,NA,masked,masked,masked,condo,1,2016,agoura hills
cities_1,2465973,15469641.0000,7642.0000,4.4422,condo,2,2016,agoura hills
cities_1,6351444,27726040.6000,10503.5000,3.7663,condo,3,2016,agoura hills
cities_1,76703,masked,masked,masked,condo,4,2016,agoura hills
cities_1,NA,NA,NA,NA,industrial,1,2016,agoura hills
cities_1,46819,masked,masked,masked,industrial,2,2016,agoura hills
cities_1,674963,2188927.0000,163400.0000,4.2491,industrial,3,2016,agoura hills
cities_1,11413,masked,masked,masked,industrial,4,2016,agoura hills
cities_1,16650,masked,masked,masked,institutional,1,2016,agoura hills
cities_1,25417,masked,masked,masked,institutional,2,2016,agoura hills
cities_1,14990,masked,masked,masked,institutional,3,2016,agoura hills
cities_1,31893,masked,masked,masked,institutional,4,2016,agoura hills
cities_1,5965,masked,masked,masked,multi_family,1,2016,agoura hills
cities_1,16438,masked,masked,masked,multi_family,2,2016,agoura hills
cities_1,255473,masked,masked,masked,multi_family,3,2016,agoura hills
cities_1,464544,631297.5000,123657.0000,1.8125,multi_family,4,2016,agoura hills
cities_1,NA,NA,NA,NA,other,1,2016,agoura hills
cities_1,NA,NA,NA,NA,other,2,2016,agoura hills
cities_1,3044,masked,masked,masked,other,3,2016,agoura hills
cities_1,NA,NA,NA,NA,other,4,2016,agoura hills
cities_1,NA,NA,NA,NA,residential_other,1,2016,agoura hills
